Sample	Reads Lane 1	Reads Lane 2	Total Raw Reads	Mapped Reads	% Mapped	Discarded Reads	Average Length	Depth of Coverage	Breadth of Coverage	mtDNA reads	Depth of Coverage for mtDNA	Breadth of Coverage for mtDNA	Mitochondrial to Nuclear Read Ratio	Mean Insert Size	Duplicated Reads	Duplication Rate
10-AA-9cm-R2	33471452	32790435	132523774	55573142	41.93	76950632	68.16	0.83	44.05	32394	262.41	100.00	0.0006	59.90	12871485	23.16
14-AD-R1	30103502	29973003	120153010	36172230	30.11	83980780	74.37	0.22	10.65	36143	362.64	100.00	0.0010	57.90	22736865	62.86
18-AL-R1	32753230	31744273	128995006	62027796	48.09	66967210	75.88	1.15	58.21	21814	124.19	100.00	0.0004	64.50	7879313	12.70
21-AN-R2	44324920	44386081	177422002	34405016	19.39	143016986	84.29	0.16	7.19	34500	273.41	99.99	0.0010	63.70	23513302	68.34
27-AR-R2	30706964	29613352	120640632	60420085	50.08	60220547	90.68	1.39	67.51	31344	245.97	100.00	0.0005	181.30	5365600	8.88
30-AV-R1	23345203	22669350	92029106	43582553	47.36	48446553	82.21	0.92	52.74	26824	187.20	100.00	0.0006	152.70	5249509	12.04
34-AY-R1	30377553	29883581	120522268	41805466	34.69	78716802	59.20	0.50	30.83	33516	222.97	100.00	0.0008	52.70	10254716	24.53
38-BI-R1	27272428	27057216	108659288	28704453	26.42	79954835	65.95	0.24	12.77	32519	238.57	100.00	0.0011	52.40	13042897	45.44
41-BJ-R2	16925360	16478772	66808264	30081577	45.03	36726687	71.46	0.55	36.63	22546	135.76	100.00	0.0008	61.70	2999851	9.97
45-BP-R2	22148816	22007022	88311676	28269562	32.01	60042114	65.80	0.28	17.59	31804	242.67	100.00	0.0011	52.70	10125536	35.82
6-AA-7cm-R2	44680122	43673133	176706510	73381240	41.53	103325270	64.13	1.06	52.15	32811	239.85	100.00	0.0004	55.30	15120526	20.61
NC-2	127186	129135	512642	139653	27.24	372989	94.91	0.00	0.10	1038	4.27	76.93	0.0075	48.70	10026	7.18
11-AG-9cm-R1	46159693	45160639	182640664	80037816	43.82	102602848	66.25	1.10	53.18	32615	260.40	100.00	0.0004	56.90	20611584	25.75
15-AD-R2	30151932	29700353	119704570	42599744	35.59	77104826	66.21	0.47	25.90	34961	323.38	100.00	0.0008	56.20	15266176	35.84
19-AL-R2	40351687	39315261	159333896	73329053	46.02	86004843	73.79	1.22	57.29	27919	184.21	100.00	0.0004	63.40	15023973	20.49
24-AQ-R1	39480426	38602417	156165686	66704280	42.71	89461406	74.69	0.77	35.90	33247	270.65	99.99	0.0005	62.10	28344321	42.49
28-AS-R1	NA	20985318	NA	23063863	NA	NA	64.29	0.24	14.78	31878	253.48	100.00	0.0014	53.50	7601304	32.96
31-AV-R2	19385424	18951508	76673864	33948268	44.28	42725596	69.94	0.60	39.24	26047	175.99	100.00	0.0008	58.80	4298459	12.66
35-AY-R2	23846669	23572175	94837688	35363064	37.29	59474624	63.29	0.37	22.33	32774	247.91	100.00	0.0009	55.60	13047019	36.89
39-BI-R2	30590709	30394039	121969496	30341535	24.88	91627961	67.38	0.28	17.38	34528	239.32	100.00	0.0011	52.90	12183759	40.16
42-BN-R1	28501660	28091187	113185694	24126729	21.32	89058965	75.09	0.21	11.79	34133	279.92	100.00	0.0014	52.70	10701122	44.35
46-NC-Lib	136557	136707	546528	149822	27.41	396706	84.11	0.00	0.13	2028	8.61	92.64	0.0137	54.90	6815	4.55
7-AG-7cm-R1	33199824	32448959	131297566	58271993	44.38	73025573	69.33	0.83	42.79	31836	230.24	100.00	0.0005	58.20	15947985	27.37
12-AG-9cm-R2	44520615	43671125	176383480	76843430	43.57	99540050	66.62	1.20	59.50	28879	158.16	100.00	0.0004	56.90	14072236	18.31
16-AJ-R1	33381737	32724907	132213288	56888104	43.03	75325184	65.06	0.84	46.03	36520	309.40	100.00	0.0006	57.30	11466365	20.16
1-AA-4cm-R1	34288621	33521167	135619576	58847525	43.39	76772051	76.58	1.08	55.33	30961	240.15	100.00	0.0005	95.20	10055317	17.09
25-AQ-R2	40030923	39178211	158418268	69089875	43.61	89328393	72.97	1.03	49.67	30879	228.03	100.00	0.0004	62.30	19394321	28.07
29-AS-R2	24980754	24596375	99154258	33979324	34.27	65174934	71.65	0.48	28.32	32556	246.00	100.00	0.0010	108.70	10096520	29.71
32-AX-R1	NA	NA	NA	34158444	NA	NA	60.30	0.35	23.02	35615	322.74	100.00	0.0010	51.00	11115793	32.54
36-BA-R1	14818290	NA	NA	14461338	NA	NA	89.77	0.09	4.59	46356	385.47	100.00	0.0032	137.70	9316738	64.43
3-AG-4cm-R1	34504700	33528449	136066298	64150482	47.15	71915816	77.92	1.27	63.82	30513	203.24	100.00	0.0005	76.20	7986767	12.45
43-BN-R2	NA	NA	NA	24257612	NA	NA	72.97	0.19	10.21	33879	303.23	100.00	0.0014	51.50	11557543	47.65
4-AG-4cm-R2	37462899	36496446	147918690	70739499	47.82	77179191	76.14	1.36	65.46	27293	163.48	100.00	0.0004	62.40	8497653	12.01
8-AG-7cm-R2	34124274	33234222	134716992	61456630	45.62	73260362	72.32	1.11	57.02	27326	165.51	100.00	0.0004	59.80	8323860	13.54
13-NC	414155	427664	1683638	196255	11.66	1487383	107.37	0.00	0.14	890	3.56	73.03	0.0046	49.30	36612	18.66
17-AJ-R2	46139034	45124486	182527040	83020988	45.48	99506052	68.41	1.36	63.41	26331	157.24	100.00	0.0003	58.80	11465757	13.81
